strength,goals,habits,challenges,time able to spend
logical thinking,social media promoter,listening music,overconfidence,30
listening skills,job,pomodor,time management,45
creativity,improving skills,early morning,time management,60
verbal skils,game developer ,other,low marks,other
listening skills ,other,listening music,social media,15
creativity,improving skills,late night,social media,60
